team_id,team_display_name,off_eff,def_eff,net_eff,pace,adj_off,adj_def,adj_net_eff,sos_opp_off,sos_opp_def,sos_overall,sos_rank,elo_rating,wins,games,losses,win_pct,composite_score,rank_adj_eff,rank_elo,rank_composite
2579,South Carolina Gamecocks,108.98,111.22,-2.24,68.76,115.79438029822455,100.44128374493192,15.35309655329263,117.74245164677937,102.43418362353452,15.308268023244848,82.0,1462.2571544691311,13,32,19,0.40625,5.789406000102872,89.0,618.0,122.0
2306,Kansas State Wildcats,107.73,110.94,-3.21,73.82,116.53072169599002,101.16407668888135,15.366645007108673,117.89076378723391,99.27569704372964,18.61506674350428,32.0,1455.231898067416,12,32,20,0.375,5.44491740692514,88.0,631.0,123.0
249,North Texas Mean Green,104.16,99.15,5.02,68.05,104.54361119619166,97.6503939519745,6.893217244217169,109.85069721486305,107.5280863063648,2.3226109084982514,196.0,1538.4483796731017,19,33,14,0.5757575757575758,5.369027605763671,131.0,132.0,124.0
2539,San Francisco Dons,110.74,107.91,2.83,67.61,114.60317036158796,105.17922269615998,9.423947665427974,111.60287916684094,103.77384268520905,7.829036481631891,133.0,1512.9897297598675,17,33,16,0.5151515151515151,5.361460320707361,111.0,179.0,125.0
232,Charleston Cougars,108.99,106.42,2.57,69.07,108.2541556373599,106.28378551200895,1.9703701253509536,107.30840815329799,109.47170116197516,-2.1632930086771753,298.0,1584.5455644823776,21,32,11,0.65625,5.212463286794356,156.0,67.0,126.0
279,Pacific Tigers,110.27,103.65,6.62,66.16,110.88756214980681,102.61923167349876,8.268330476308051,110.33302279349115,105.9891800951731,4.343842698318048,169.0,1518.6176127674435,18,33,15,0.5454545454545454,5.065045876526199,120.0,171.0,127.0
2653,Troy Trojans,113.77,103.14,10.63,70.71,110.28102233367407,108.02013082283116,2.26089151084291,104.48130883018115,110.3754143784664,-5.894105548285246,409.0,1577.7247133026563,22,33,11,0.6666666666666666,5.016681420554268,153.0,75.0,128.0
2226,Florida Atlantic Owls,110.5,104.46,6.04,71.17,111.45764555558704,103.40589592815631,8.051749627430723,109.88040764220294,106.3672391686454,3.5131684735575357,178.0,1519.3134376059922,18,33,15,0.5454545454545454,4.991546694014974,122.0,169.0,129.0
344,Mississippi State Bulldogs,107.14,113.42,-6.28,72.29,114.80039673032238,101.70161586521179,13.098780865110584,119.18413088133778,100.63767590128106,18.546454980056712,33.0,1466.9325638937871,13,32,19,0.40625,4.896018627244648,95.0,611.0,130.0
2110,Central Arkansas Bears,113.68,105.4,8.29,71.01,108.73256972202871,107.10224285013166,1.6303268718970543,106.83889055842073,113.29487332109797,-6.45598276267724,437.0,1578.6599117809885,22,34,12,0.6470588235294118,4.748159024997953,158.0,74.0,131.0
2737,Winthrop Eagles,115.77,104.17,11.6,72.35,110.74872393717587,110.03227536481961,0.7164485723562564,103.7850605371657,111.46874094280605,-7.683680405640352,483.0,1587.7766922971095,23,34,11,0.6764705882352942,4.747058901033606,169.0,62.0,132.0
2193,East Tennessee State Buccaneers,115.5,102.42,13.08,67.42,109.7430164232235,107.3488749577954,2.394141465428092,104.16106644841209,113.43412149829031,-9.273055049878216,537.0,1570.762388855853,23,34,11,0.6764705882352942,4.735190175506697,152.0,83.0,133.0
2523,Robert Morris Colonials,114.89,106.19,8.7,67.64,110.04713687535889,108.45496051188881,1.5921763634700739,106.1302335823174,112.85444154542691,-6.724207963109508,445.0,1577.4420379006092,22,33,11,0.6666666666666666,4.668190076765496,160.0,76.0,134.0
2649,Toledo Rockets,116.07,109.62,6.45,69.83,114.17574891408037,109.6265240404606,4.549224873619778,108.21942383718148,109.81482528550286,-1.5954014483213736,283.0,1545.6592691969945,19,34,15,0.5588235294117647,4.557575896659614,142.0,118.0,135.0
164,Rutgers Scarlet Knights,104.76,111.87,-7.11,67.26,113.26522121841053,102.55074849552261,10.714472722887919,116.72663535791499,100.11173211792382,16.61490323999116,63.0,1481.7142960231656,14,33,19,0.42424242424242425,4.44295116260224,102.0,497.0,136.0
219,Pennsylvania Quakers,109.14,104.43,4.72,69.97,106.83608194799268,105.066445015605,1.7696369323876837,108.04239688406014,109.17308188426946,-1.1306850002093427,270.0,1569.4119475988994,18,29,11,0.6206896551724138,4.3554158461388095,157.0,85.0,137.0
204,Oregon State Beavers,105.9,110.17,-4.27,67.23,111.76579986641758,105.72052782819739,6.04527203822019,111.54128911423561,103.40690409525709,8.134385018978511,129.0,1524.9150498246154,17,33,16,0.5151515151515151,4.2683885103408645,137.0,163.0,138.0
79,Southern Illinois Salukis,103.45,98.4,5.05,70.63,104.97255664679993,97.74771763307317,7.224839013726765,108.70164698431891,105.98599657781453,2.7156504065043876,190.0,1512.1097358283146,16,32,16,0.5,4.217906298279111,130.0,182.0,139.0
338,Kennesaw State Owls,114.6,103.9,10.7,72.97,110.67951415525546,108.54750578608663,2.1320083691688296,105.48103992342642,109.50444393409211,-4.023404010665677,352.0,1560.1517171802898,21,34,13,0.6176470588235294,4.073590043598903,155.0,97.0,140.0
2378,UMBC Retrievers,113.1,99.27,13.83,67.44,106.49792796877551,108.91489177185758,-2.4169638030820693,98.65540581170295,114.10596100442201,-15.450555192719063,659.0,1605.5367153415018,24,32,8,0.75,4.068353865534055,207.0,46.0,141.0
2230,Fordham Rams,106.06,99.17,6.89,65.93,106.31965551117518,100.19651871293263,6.123136798242555,107.17429284629429,107.39686527993454,-0.2225724336402597,247.0,1518.385776187458,17,32,15,0.53125,3.9808572084941813,135.0,173.0,142.0
179,St. Bonaventure Bonnies,112.27,109.72,2.55,67.94,115.86461638164494,107.7436949782734,8.12092140337154,109.72606802750474,104.28662642175725,5.439441605747479,152.0,1495.83673473849,17,34,17,0.5,3.8522974386102646,121.0,220.0,143.0
2046,Austin Peay Governors,114.69,103.33,11.36,71.0,107.09742953014495,107.5329514499169,-0.43552191977194354,105.43566168130307,114.53725618282753,-9.101594501524442,529.0,1579.23156140157,22,31,9,0.7096774193548387,3.743817110192525,180.0,72.0,144.0
47,Howard Bison,110.49,96.44,14.04,70.18,104.14224737800377,105.23352292620426,-1.0912755482004854,99.17427982882938,114.43099521397967,-15.256715385150292,656.0,1584.5146708035513,23,33,10,0.696969696969697,3.680095766077324,187.0,68.0,145.0
227,Rhode Island Rams,104.65,102.86,1.78,66.53,107.24533165480024,99.5725544846639,7.672777170136342,110.55380172061963,105.69308408543019,4.860717635189449,158.0,1496.6798426821815,16,32,16,0.5,3.670380719177247,125.0,217.0,146.0
2674,Valparaiso Beacons,106.85,105.56,1.29,67.53,108.56813283349777,104.48670472515158,4.081428108346188,108.60665346829184,106.60507270528018,2.001580763011661,202.0,1528.7852393055314,18,33,15,0.5454545454545454,3.479976019449663,145.0,150.0,147.0
98,Western Kentucky Hilltoppers,110.36,106.37,3.99,71.7,109.46453844376104,105.29247665583244,4.172061787928598,108.39626464130932,109.50187986463759,-1.105615223328273,269.0,1527.46650622146,18,32,14,0.5625,3.459356205037294,144.0,155.0,148.0
2771,Merrimack Warriors,106.19,103.43,2.76,64.4,104.60967468702593,107.08878393395212,-2.4791092469261855,103.74018272257695,109.7876462117574,-6.0474634891804575,419.0,1592.9560195621823,23,34,11,0.6764705882352942,3.408246354646022,208.0,58.0,149.0
235,Memphis Tigers,104.38,106.78,-2.39,71.94,109.71139674573918,100.27495381139961,9.436442934339567,113.8964383934291,103.1804408865816,10.715997506847511,103.0,1470.8368358116736,13,32,19,0.40625,3.260063257753464,109.0,586.0,150.0
120,Maryland Terrapins,104.05,114.43,-10.38,66.95,113.8229335904531,102.72362814681718,11.099305443635927,118.86295876524169,99.26462883808541,19.598329927156268,24.0,1451.4736914581808,12,33,21,0.36363636363636365,3.1233372947270057,99.0,635.0,151.0
2032,Arkansas State Red Wolves,112.84,105.57,7.28,73.34,109.32714379249002,108.47894050144598,0.8482032910440438,105.38535018400081,111.34622812322645,-5.960877939225631,412.0,1552.0958977624143,20,32,12,0.625,3.028896533642738,166.0,107.0,152.0
2561,Siena Saints,109.35,101.78,7.58,64.51,105.86444643671594,108.1897017912741,-2.3252553545581662,101.56898343424123,111.41609570976212,-9.847112275520889,552.0,1582.5885291081747,23,34,11,0.6764705882352942,2.966798778129653,206.0,70.0,153.0
189,Bowling Green Falcons,111.97,99.72,12.25,72.19,107.35675540593215,103.33112539340061,4.025630012531536,105.38471388045592,111.73377170998229,-6.3490578295263775,432.0,1518.5508770857482,18,32,14,0.5625,2.940358860553178,146.0,172.0,154.0
2729,William & Mary Tribe,112.95,104.83,8.12,73.87,109.21684941057536,108.15018495539566,1.0666644551797049,106.05879839417767,110.3058605049187,-4.2470621107410365,361.0,1547.3762858000027,20,32,12,0.625,2.902146517589989,162.0,113.0,155.0
278,Fresno State Bulldogs,104.87,104.91,-0.05,69.43,109.2500748305706,99.65956725164986,9.590507578920736,112.9449167458961,104.0844597349084,8.860457010987695,120.0,1460.500199802353,13,32,19,0.40625,2.820263779578023,108.0,622.0,156.0
2502,Portland State Vikings,109.22,100.28,8.94,70.14,102.98906117671648,102.55738343845637,0.431677738260106,106.15179080109861,113.41682335659343,-7.265032555494818,472.0,1551.3353115689583,20,31,11,0.6451612903225806,2.7826044475779694,172.0,108.0,157.0
