athlete_id,athlete_display_name,team_id,team_display_name
5175898,Jacob Beccles,172,Cornell Big Red
5175900,Jake Fiegen,172,Cornell Big Red
5175919,Ben Brown,159,Dartmouth Big Green
5175920,Patrick Tivnan Jr.,159,Dartmouth Big Green
5175921,Nikola Abusara,159,Dartmouth Big Green
5175939,Caleb Johnson,112358,Long Island University Sharks
5175943,Andres Burney,290,Georgia Southern Eagles
5175944,Thomas Curlee,132013,Baptist (Fl) Eagles
5175952,Malik Mack,46,Georgetown Hoyas
5175953,Xavier Nesbitt,108,Harvard Crimson
5175954,Thomas Batties III,108,Harvard Crimson
5175955,Luca Ace-Nasteski,108,Harvard Crimson
5175956,Payton Pitts,108,Harvard Crimson
5175971,Kai Yu,71,Bradley Braves
5175973,Sean Newman Jr.,21,San Diego State Aztecs
5175974,Jaylin Henderson,2502,Portland State Vikings
5175976,Terri Miller Jr.,2502,Portland State Vikings
5176028,Greg Jones,44,American University Eagles
5176029,Matt Mayock,44,American University Eagles
5176030,Ryan Curry,349,Army Black Knights
5176031,Josh Scovens,2166,Davidson Wildcats
5176034,Tate Laczkowski,349,Army Black Knights
5176036,Ethan Okwuosa,104,Boston University Terriers
5176037,Kyrone Alexander,104,Boston University Terriers
5176039,Michael McNair,104,Boston University Terriers
5176042,Patrick O'Brien,2083,Bucknell Bison
5176043,Brandon McCreesh,2083,Bucknell Bison
5176046,Jalen Cox,2142,Colgate Raiders
5176047,Cooper Wright,2142,Colgate Raiders
5176049,Sam Wright,2142,Colgate Raiders
5176058,DeAndre Williams,107,Holy Cross Crusaders
5176059,Kahlil Singleton,2099,Canisius Golden Griffins
5176061,A.J. Wills,2275,Hofstra Pride
5176062,Joe Nugent,107,Holy Cross Crusaders
5176063,Declan Ryan,107,Holy Cross Crusaders
5176064,Luke Rasmussen,2655,Tulane Green Wave
5176065,Mark Butler,322,Lafayette Leopards
5176066,Misha Bednostin,322,Lafayette Leopards
5176067,Andrew Phillips,322,Lafayette Leopards
5176068,Joshua Wyche,322,Lafayette Leopards
5176075,Cam Gillus,47,Howard Bison
5176076,Nasir Whitlock,2329,Lehigh Mountain Hawks
5176077,Joshua Ingram,2329,Lehigh Mountain Hawks
5176078,Jake Pike,2329,Lehigh Mountain Hawks
5176081,Troy Cicero Jr.,2352,Loyola Maryland Greyhounds
5176082,Jordan Stiemke,2352,Loyola Maryland Greyhounds
