athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
5313861,1.58,3.36,4.93,951.87,Enel St. Bernard,Indiana State Sycamores,F
5174288,1.44,3.49,4.93,1992.95,Jason Rivera-Torres,Monmouth Hawks,F
5179092,1.66,3.27,4.93,999.07,Wilson Dubinsky,Marshall Thundering Herd,G
5311832,2.89,2.04,4.93,1519.36,David Mirkovic,Illinois Fighting Illini,F
5177691,2.04,2.88,4.92,1689.16,David Terrell Jr.,North Texas Mean Green,G
5176517,2.32,2.6,4.92,1854.25,Michael Ajayi,Butler Bulldogs,F
5107157,5.19,-0.28,4.91,1667.84,Ryan Conwell,Louisville Cardinals,G
5176799,0.27,4.64,4.91,1233.06,Collin Kuhl,Stetson Hatters,F
5106611,1.17,3.74,4.91,1087.35,Miles Webb,Delaware State Hornets,F
5175354,1.83,3.06,4.9,513.37,Augusto Cassiá,Ole Miss Rebels,F
5242267,2.33,2.56,4.89,1197.8,Guzman Vasilic,Cal Poly Mustangs,G
5196935,0.64,4.24,4.89,515.18,Amari Reed,UT Arlington Mavericks,F
4873145,2.37,2.52,4.89,1229.24,Donnie Freeman,Syracuse Orange,F
4702097,2.39,2.49,4.88,1005.26,Connor Serven,Mercer Bears,F
5241230,2.88,1.99,4.88,1341.34,Javan Buchanan,Boise State Broncos,F
5314627,2.88,2.0,4.87,1263.87,Kellen Pickett,Wright State Raiders,F
5174955,1.24,3.64,4.87,1688.06,Paulius Murauskas,Saint Mary's Gaels,F
5292602,2.11,2.77,4.87,897.19,Najai Hines,Seton Hall Pirates,F
5107295,2.15,2.73,4.87,1545.74,TJ Hurley,Vermont Catamounts,G
5175704,2.03,2.84,4.87,1065.29,Ahmad Robinson,UAB Blazers,G
5106261,1.64,3.23,4.87,1387.31,Ernest Udeh Jr.,Miami Hurricanes,C
5070505,-0.25,5.12,4.87,1199.88,Kaden Cooper,Louisiana Tech Bulldogs,G
4684443,2.3,2.57,4.87,1228.51,Rafael Castro,George Washington Revolutionaries,F
5311607,2.53,2.33,4.86,653.74,Tai Turnage,Quinnipiac Bobcats,G
