athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
5312336,3.21,-1.57,1.64,721.92,Thiago Sucatzky,Florida International Panthers,G
4703837,0.81,0.83,1.64,1465.83,AJ Staton-McCray,Seton Hall Pirates,G
5240024,0.81,0.82,1.64,902.86,Brady Hardewig,West Georgia Wolves,G
5176133,-0.73,2.36,1.64,1000.19,Eddrin Bronson,Furman Paladins,G
5239648,0.11,1.53,1.63,708.78,Nate Guerengomba,Quinnipiac Bobcats,G
5315579,1.67,-0.04,1.63,1554.22,DeShawn Gory,Fresno State Bulldogs,F
5242942,1.03,0.6,1.63,1661.19,Tyler Boston,Holy Cross Crusaders,G
5151855,0.09,1.54,1.63,932.48,Luka Toews,Boston College Eagles,G
5237444,2.11,-0.49,1.63,882.14,Josiah Sanders,Colorado Buffaloes,G
5313179,2.29,-0.67,1.62,1064.46,Zacch Wiggins,Old Dominion Monarchs,G
5241372,1.49,0.11,1.61,919.42,Trent Hundley,Evansville Purple Aces,F
5241435,0.02,1.59,1.61,1478.8,Ronnie Harrison,East Texas A&M Lions,F
5314464,-0.39,1.99,1.59,1369.7,Caleb Smith,Rider Broncs,G
5312350,1.64,-0.05,1.59,1439.81,Trey Simpson,Kennesaw State Owls,F
5241164,0.62,0.97,1.59,529.97,Elijah Thomas,Eastern Washington Eagles,G
5313713,0.55,1.04,1.59,613.95,Khoi Thurmon,Oakland Golden Grizzlies,G
5176404,-0.6,2.17,1.58,886.18,Kaspar Sepp,Cornell Big Red,F
5174293,-1.95,3.52,1.56,1316.1,Tyler Ringgold,Tulane Green Wave,F
5177702,2.11,-0.56,1.56,1201.34,Yaniel Rivera,Abilene Christian Wildcats,G
5243405,2.95,-1.39,1.56,1456.21,Jayden Johnson,South Carolina State Bulldogs,G
5176227,-1.07,2.62,1.56,534.26,Amire Robinson,Nevada Wolf Pack,G
5239594,-0.31,1.86,1.55,1403.4,Bryson Cokley,Elon Phoenix,G
5312187,0.78,0.77,1.55,1006.89,Tomas Valentiny,Stony Brook Seawolves,F
5243062,-0.97,2.52,1.55,500.76,Luke Davis,East Carolina Pirates,F
5313265,-0.84,2.39,1.54,572.21,Isaiah Williams,Portland State Vikings,G
5177558,2.11,-0.57,1.54,1211.11,K'Jei Parker,Massachusetts Minutemen,G
5177114,-0.89,2.43,1.54,1419.07,Seydou Traore,Utah Utes,F
5241841,2.1,-0.56,1.54,1023.43,CJ Hardy,Cal State Bakersfield Roadrunners,G
5313068,-0.69,2.22,1.53,1625.54,Micah Tucker,Georgia State Panthers,G
4823976,5.31,-3.77,1.53,1620.93,Brian Waddell,Bellarmine Knights,F
5107272,0.82,0.71,1.53,774.7,Tajavis Miller,New Mexico Lobos,G
5314746,-0.43,1.96,1.53,1047.19,Antonio Munoz,Grambling Tigers,F
5107275,1.77,-0.26,1.51,1610.99,Lance Waddles,Omaha Mavericks,G
5242439,-1.17,2.68,1.51,1436.54,Clayton Jackson,Lindenwood Lions,G
5314574,1.27,0.24,1.51,1650.41,KJ Younger,UNC Greensboro Spartans,G
5243096,1.32,0.18,1.51,1424.18,EJ Ryans,Western Michigan Broncos,G
4897337,0.51,1.0,1.5,1540.19,Trae English,Nicholls Colonels,G
5185239,-0.1,1.6,1.5,1621.43,Jabri Fitzpatrick,New Haven Chargers,G
5239560,0.66,0.84,1.5,1407.29,Phat Phat Brooks,Central Michigan Chippewas,G
5313714,1.46,0.03,1.49,1352.92,Isaac Garrett,Oakland Golden Grizzlies,F
