athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
5313112,1.02,0.62,1.63,Alton Hamilton IV,331,Eastern Washington Eagles,1578.8813547969996
5311887,1.63,0.0,1.63,Cayden Charles,179,St. Bonaventure Bonnies,1890.2843892412507
5105588,0.81,0.83,1.63,ND Okafor,265,Washington State Cougars,1254.084434200477
5242603,1.03,0.6,1.63,Jae'Coby Osborne,166,New Mexico State Aggies,1215.4862847035588
5214643,1.54,0.09,1.63,Felix Kossaras,38,Colorado Buffaloes,749.2689661066848
5107264,1.85,-0.22,1.63,Marquel Sutton,99,LSU Tigers,1638.681035819582
5179092,0.71,0.91,1.63,Wilson Dubinsky,276,Marshall Thundering Herd,1074.674543573641
5313875,-0.37,1.99,1.62,Jalen Haynes,79,Southern Illinois Salukis,1135.9607512536522
5174574,0.3,1.32,1.62,Jaiun Simon,2168,Dayton Flyers,996.7593905325548
5105457,0.99,0.63,1.62,Maurice Odum,9,Arizona State Sun Devils,1926.7200658991535
5190926,1.39,0.23,1.62,Kobi Williams,2623,Missouri State Bears,1929.413641957872
5313879,1.07,0.54,1.61,Rashund Washington Jr.,82,UIC Flames,1237.2916819994236
4895789,0.85,0.76,1.61,Noah Barnett,261,Vermont Catamounts,1087.8237701711926
5109033,0.54,1.07,1.61,Allen Mukeba,9,Arizona State Sun Devils,949.135782535134
5239600,0.93,0.68,1.61,Dezdrick Lindsay,2483,Oregon Ducks,1083.9641131147139
5176674,0.85,0.76,1.61,Kam Burton,2617,Stephen F. Austin Lumberjacks,1019.115360038193
5106039,0.32,1.29,1.61,Alphonzo Billups III,2344,Longwood Lancers,1269.7707721793765
5101806,0.19,1.42,1.61,Salim London,5,UAB Blazers,1045.0808647048964
5240545,1.54,0.06,1.61,Dezayne Mingo,2429,Charlotte 49ers,1425.9505850938265
5314636,2.38,-0.77,1.6,Logan Kinsey,2172,Denver Pioneers,1600.3950361713676
5241718,1.68,-0.08,1.6,Anthony Nimani,172,Cornell Big Red,642.2764662586043
5176273,1.16,0.45,1.6,Karson Templin,328,Utah State Aggies,1106.0357481345523
5177137,0.66,0.94,1.6,Khaden Bennett,2751,Wyoming Cowboys,1519.6089561453543
5175657,1.56,0.04,1.6,Darryl Simmons II,179,St. Bonaventure Bonnies,2023.300582928113
5175952,1.12,0.48,1.6,Malik Mack,46,Georgetown Hoyas,1833.389512725747
5175011,0.54,1.06,1.6,Josiah Lake II,204,Oregon State Beavers,1836.44052123311
4683758,0.47,1.13,1.6,Malik Thomas,258,Virginia Cavaliers,1267.1518370275303
5108046,0.56,1.04,1.6,Emil Skytta,2449,North Dakota State Bison,504.7549797260573
5106236,0.8,0.79,1.6,Kenny Noland,171,Columbia Lions,1546.5743565195805
5311607,0.71,0.88,1.59,Tai Turnage,2514,Quinnipiac Bobcats,661.8764186761414
5176517,1.04,0.55,1.59,Michael Ajayi,2086,Butler Bulldogs,1866.8517502225588
5126036,0.49,1.1,1.59,Niccolo Moretti,2226,Florida Atlantic Owls,1484.450769409186
5112412,0.6,0.99,1.59,Troy Glover II,189,Bowling Green Falcons,1265.7148730115305
5108969,1.22,0.37,1.59,Lajae Jones,52,Florida State Seminoles,1711.6446400435386
5241745,0.87,0.72,1.59,Brit Harris,2229,Florida International Panthers,1075.0016707155974
