athlete_id,athlete_display_name,team_id,team_display_name,ortg_on,drtg_on,nrtg_on,ortg_off,drtg_off,nrtg_off,on_off,ortg_on_pct,drtg_on_pct,nrtg_on_pct,ortg_off_pct,drtg_off_pct,nrtg_off_pct,on_off_pct,fg_pct_on,efg_pct_on,3p_pct_on,3p_rate_on,ft_rate_on,ft_pct_on,opp_fg_pct_on,opp_efg_pct_on,opp_3p_pct_on,opp_3p_rate_on,drb_pct_on,orb_pct_on,drb_per100_on,orb_per100_on,opp_orb_per100_on,poss_off_on,poss_def_on,poss_off_off,poss_def_off,pts_for_on,pts_against_on,pts_for_off,pts_against_off,fga_for_on,fgm_for_on,tpa_for_on,tpm_for_on,fga_against_on,fgm_against_on,tpa_against_on,tpm_against_on,orb_for_on,drb_for_on,orb_against_on,drb_against_on
4070361,Brandon Barnes,3077,Kentucky Christian Knights,56.7215,137.2213,-80.4998,79.4757,115.3011,-35.8254,-44.6744,,,,,,,,0.2419,0.2419,,0.0,0.129,0.5,0.5846,0.5846,,0.0,0.6429,0.1667,25.729,11.3443,14.2939,70.52,69.96,71.72,73.72,40.0,96.0,57.0,85.0,62.0,15.0,0.0,0.0,65.0,38.0,0.0,0.0,8.0,18.0,10.0,40.0
3948774,Nick McGlynn,2181,Drake Bulldogs,103.2513,106.4003,-3.149,133.3538,91.0693,42.2844,-45.4334,,,,,,,,0.4342,0.4342,,0.0,0.3148,0.768,0.4597,0.4597,,0.0,0.7236,0.2315,36.1215,11.5095,13.7971,2093.92,2087.4,65.24,68.08,2162.0,2221.0,87.0,62.0,1725.0,749.0,0.0,0.0,1810.0,832.0,0.0,0.0,241.0,754.0,288.0,800.0
3138240,C.J. Rivers,2181,Drake Bulldogs,103.2513,106.4003,-3.149,133.3538,91.0693,42.2844,-45.4334,,,,,,,,0.4342,0.4342,,0.0,0.3148,0.768,0.4597,0.4597,,0.0,0.7236,0.2315,36.1215,11.5095,13.7971,2093.92,2087.4,65.24,68.08,2162.0,2221.0,87.0,62.0,1725.0,749.0,0.0,0.0,1810.0,832.0,0.0,0.0,241.0,754.0,288.0,800.0
3138242,Reed Timmer,2181,Drake Bulldogs,103.2513,106.4003,-3.149,133.3538,91.0693,42.2844,-45.4334,,,,,,,,0.4342,0.4342,,0.0,0.3148,0.768,0.4597,0.4597,,0.0,0.7236,0.2315,36.1215,11.5095,13.7971,2093.92,2087.4,65.24,68.08,2162.0,2221.0,87.0,62.0,1725.0,749.0,0.0,0.0,1810.0,832.0,0.0,0.0,241.0,754.0,288.0,800.0
4066983,De'Antae McMurray,2181,Drake Bulldogs,103.2513,106.4003,-3.149,133.3538,91.0693,42.2844,-45.4334,,,,,,,,0.4342,0.4342,,0.0,0.3148,0.768,0.4597,0.4597,,0.0,0.7236,0.2315,36.1215,11.5095,13.7971,2093.92,2087.4,65.24,68.08,2162.0,2221.0,87.0,62.0,1725.0,749.0,0.0,0.0,1810.0,832.0,0.0,0.0,241.0,754.0,288.0,800.0
3155999,Devin Epps,6,South Alabama Jaguars,96.2075,123.2493,-27.0418,107.5901,88.6562,18.9339,-45.9758,,,,,,,,0.4286,0.4286,,0.0,0.2321,0.6923,0.4,0.4,,0.0,0.5122,0.2647,29.4118,12.5488,28.0112,71.72,71.4,578.12,573.0,69.0,88.0,622.0,508.0,56.0,24.0,0.0,0.0,65.0,26.0,0.0,0.0,9.0,21.0,20.0,25.0
3906761,Tevin King,2571,South Dakota State Jackrabbits,113.6797,99.8453,13.8344,155.1146,95.0783,60.0363,-46.2019,,,,,,,,0.4632,0.4632,,0.0,0.3676,0.76,0.4315,0.4315,,0.0,0.783,0.2474,41.2619,12.3377,11.433,2310.0,2326.6,71.56,71.52,2626.0,2323.0,111.0,68.0,1904.0,882.0,0.0,0.0,1963.0,847.0,0.0,0.0,285.0,960.0,266.0,867.0
4074986,Lawrence Weatherall,3246,Bethesda University Flames,56.7595,136.1768,-79.4172,91.2596,121.308,-30.0484,-49.3689,,,,,,,,0.2581,0.2581,,0.0,0.129,0.75,0.5714,0.5714,,0.0,0.5143,0.0833,23.1244,5.16,21.8397,77.52,77.84,77.8,75.84,44.0,106.0,71.0,92.0,62.0,16.0,0.0,0.0,77.0,44.0,0.0,0.0,4.0,18.0,17.0,44.0
4282824,Nicholas Blocker,2691,Webber International Warriors,57.1571,139.7516,-82.5945,87.9437,121.0586,-33.1148,-49.4797,,,,,,,,0.2656,0.2656,,0.0,0.2656,0.5294,0.5769,0.5769,,0.0,0.5294,0.2745,23.2919,17.3956,20.7039,80.48,77.28,250.16,248.64,46.0,108.0,220.0,301.0,64.0,17.0,0.0,0.0,78.0,45.0,0.0,0.0,14.0,18.0,16.0,37.0
3946950,LaRond Williams,299,Long Beach State Beach,87.1586,146.2995,-59.1409,101.6768,111.0708,-9.3939,-49.7469,,,,,,,,0.4068,0.4068,,0.0,0.1864,0.7273,0.6094,0.6094,,0.0,0.52,0.3333,18.646,17.4317,17.2117,68.84,69.72,656.0,660.84,60.0,102.0,667.0,734.0,59.0,24.0,0.0,0.0,64.0,39.0,0.0,0.0,12.0,13.0,12.0,24.0
4278487,Marko Krivacevic,2184,Duquesne Dukes,88.5643,122.2494,-33.6851,113.8609,97.1155,16.7454,-50.4304,,,,,,,,0.3167,0.3167,,0.0,0.3167,0.7895,0.5952,0.5952,,0.0,0.7778,0.3023,21.3936,20.1989,6.1125,64.36,65.44,384.68,379.96,57.0,80.0,438.0,369.0,60.0,19.0,0.0,0.0,42.0,25.0,0.0,0.0,13.0,14.0,4.0,30.0
4067395,Eugene German,2459,Northern Illinois Huskies,101.771,107.6859,-5.9149,138.8889,93.9394,44.9495,-50.8644,,,,,,,,0.4446,0.4446,,0.0,0.3534,0.7315,0.468,0.468,,0.0,0.714,0.29,35.6622,14.875,14.2849,1996.64,2002.12,66.96,66.0,2032.0,2156.0,93.0,62.0,1644.0,731.0,0.0,0.0,1639.0,767.0,0.0,0.0,297.0,714.0,286.0,727.0
4289617,Desean Green,2397,Milligan Buffaloes,86.0778,156.8725,-70.7947,95.0085,113.9601,-18.9516,-51.8431,,,,,,,,0.3939,0.3939,,0.0,0.2121,0.6429,0.6515,0.6515,,0.0,0.68,0.2093,21.1653,11.2275,9.9602,80.16,80.32,70.52,70.2,69.0,126.0,67.0,80.0,66.0,26.0,0.0,0.0,66.0,43.0,0.0,0.0,9.0,17.0,8.0,34.0
4280069,Kyle Copeland,107,Holy Cross Crusaders,58.3391,119.1298,-60.7908,92.9563,101.0813,-8.125,-52.6658,,,,,,,,0.2791,0.2791,,0.0,0.2791,0.5833,0.46,0.46,,0.0,0.6897,0.0909,34.5304,5.1476,15.5387,58.28,57.92,1028.44,1020.96,34.0,69.0,956.0,1032.0,43.0,12.0,0.0,0.0,50.0,23.0,0.0,0.0,3.0,20.0,9.0,30.0
3907779,Chris Harris Jr.,248,Houston Cougars,92.1592,121.4757,-29.3165,115.6537,92.0227,23.6309,-52.9475,,,,,,,,0.4107,0.4107,,0.0,0.3393,0.6842,0.4483,0.4483,,0.0,0.7353,0.2973,37.4925,16.0913,13.4973,68.36,66.68,1360.96,1351.84,63.0,81.0,1574.0,1244.0,56.0,23.0,0.0,0.0,58.0,26.0,0.0,0.0,11.0,25.0,9.0,26.0
3129950,Jack George,2210,Elon Phoenix,85.706,119.258,-33.552,112.7107,92.3282,20.3825,-53.9345,,,,,,,,0.3929,0.3929,,0.0,0.1964,0.8182,0.4737,0.4737,,0.0,0.75,0.2778,35.3357,14.5264,11.7786,68.84,67.92,211.16,210.12,59.0,81.0,238.0,194.0,56.0,22.0,0.0,0.0,57.0,27.0,0.0,0.0,10.0,24.0,8.0,26.0
56527,Jalan West,2466,Northwestern State Demons,91.8865,105.8507,-13.9641,116.4637,76.4768,39.9869,-53.9511,,,,,,,,0.4028,0.4028,,0.0,0.3531,0.6711,0.4601,0.4601,,0.0,0.6923,0.2764,32.9099,14.4883,14.6266,524.56,519.6,75.56,75.84,482.0,550.0,88.0,58.0,422.0,170.0,0.0,0.0,426.0,196.0,0.0,0.0,76.0,171.0,76.0,199.0
3934670,Marcus Derrickson,46,Georgetown Hoyas,106.6131,104.6804,1.9327,132.9946,74.1525,58.8421,-56.9093,,,,,,,,0.4504,0.4504,,0.0,0.3877,0.7708,0.438,0.438,,0.0,0.7417,0.3126,37.915,14.959,13.2069,2052.28,2051.96,66.92,66.08,2188.0,2148.0,89.0,49.0,1643.0,740.0,0.0,0.0,1749.0,766.0,0.0,0.0,307.0,778.0,271.0,675.0
3947244,Lyrik Shreiner,2463,Cal State Northridge Matadors,97.0827,111.7216,-14.6389,124.3455,81.646,42.6996,-57.3384,,,,,,,,0.4311,0.4311,,0.0,0.2819,0.71,0.4686,0.4686,,0.0,0.6785,0.2302,34.1221,11.6222,16.1688,1875.72,1849.24,61.12,61.24,1821.0,2066.0,76.0,50.0,1554.0,670.0,0.0,0.0,1609.0,754.0,0.0,0.0,218.0,631.0,299.0,729.0
