athlete_id,3PA,3P%,streak_score,p_value,runs_z_score,runs_p_value
5176174,6,0.5,-0.16666666666666669,1.0,0.45643546458763845,0.6480768681391461
5116063,8,0.375,-0.16666666666666669,0.564,0.6179143806533247,0.5366317789686867
5324544,6,0.5,-0.16666666666666669,0.682,0.45643546458763845,0.6480768681391461
5323258,6,0.5,-0.16666666666666669,0.699,0.45643546458763845,0.6480768681391461
5313146,10,0.4,-0.16666666666666669,1.0,0.49170755108038944,0.6229260993842225
5316001,33,0.24242424242424243,-0.16666666666666669,0.903,0.6717742581782616,0.5017274188338248
5319584,8,0.375,-0.16666666666666669,0.654,0.6179143806533247,0.5366317789686867
5115873,6,0.5,-0.16666666666666669,0.698,0.45643546458763845,0.6480768681391461
5311928,24,0.4166666666666667,-0.16666666666666669,0.951,0.3582571901381945,0.720150852026338
5107803,6,0.5,-0.16666666666666669,1.0,0.45643546458763845,0.6480768681391461
5323473,6,0.5,-0.16666666666666669,0.734,0.45643546458763845,0.6480768681391461
5250008,6,0.5,-0.16666666666666669,0.507,0.45643546458763845,0.6480768681391461
5319748,6,0.5,-0.16666666666666669,0.686,0.45643546458763845,0.6480768681391461
5182628,8,0.5,-0.16666666666666669,0.621,0.3818813079129867,0.7025494055759491
5081348,6,0.5,-0.16666666666666669,1.0,0.45643546458763845,0.6480768681391461
5177019,15,0.4,-0.16666666666666669,0.885,0.16800537625806214,0.8665790495576086
5318794,8,0.5,-0.16666666666666669,0.569,0.3818813079129867,0.7025494055759491
5317529,6,0.5,-0.16666666666666669,0.711,0.45643546458763845,0.6480768681391461
5316264,8,0.375,-0.16666666666666669,0.522,0.6179143806533247,0.5366317789686867
5119215,6,0.5,-0.16666666666666669,0.671,0.45643546458763845,0.6480768681391461
5323023,8,0.375,-0.16666666666666669,0.642,0.6179143806533247,0.5366317789686867
5177341,22,0.4090909090909091,-0.16666666666666669,0.788,0.3909195490837335,0.6958567034289742
5247844,6,0.5,-0.16666666666666669,0.71,0.45643546458763845,0.6480768681391461
