athlete_id,athlete_display_name,team_id,team_display_name,ortg_on,drtg_on,nrtg_on,ortg_off,drtg_off,nrtg_off,on_off,ortg_on_pct,drtg_on_pct,nrtg_on_pct,ortg_off_pct,drtg_off_pct,nrtg_off_pct,on_off_pct,fg_pct_on,efg_pct_on,3p_pct_on,3p_rate_on,ft_rate_on,ft_pct_on,opp_fg_pct_on,opp_efg_pct_on,opp_3p_pct_on,opp_3p_rate_on,drb_pct_on,orb_pct_on,drb_per100_on,orb_per100_on,opp_orb_per100_on,poss_off_on,poss_def_on,poss_off_off,poss_def_off,pts_for_on,pts_against_on,pts_for_off,pts_against_off,fga_for_on,fgm_for_on,tpa_for_on,tpm_for_on,fga_against_on,fgm_against_on,tpa_against_on,tpm_against_on,orb_for_on,drb_for_on,orb_against_on,drb_against_on
4398281,Zach Nutall,2534,Sam Houston Bearkats,105.076,99.5166,5.5594,,,,,,,,,,,,0.4585,0.4585,,0.0,0.3018,0.731,0.441,0.441,,0.0,0.6412,0.3255,31.1977,16.5868,17.4549,1260.04,1266.12,0.0,0.0,1324.0,1260.0,0.0,0.0,1047.0,480.0,0.0,0.0,932.0,411.0,0.0,0.0,209.0,395.0,221.0,433.0
4398283,Kai Mitchell,2534,Sam Houston Bearkats,104.4375,99.9189,4.5186,,,,,,,,,,,,0.4563,0.4563,,0.0,0.3069,0.724,0.44,0.44,,0.0,0.6426,0.3235,31.4782,16.6254,17.5046,1323.28,1331.08,0.0,0.0,1382.0,1330.0,0.0,0.0,1098.0,501.0,0.0,0.0,991.0,436.0,0.0,0.0,220.0,419.0,233.0,460.0
4398284,Cyrus Johnson,2534,Sam Houston Bearkats,,,,102.3621,99.4366,2.9254,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1175.24,1178.64,0.0,0.0,1203.0,1172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398293,Oddyst Walker,2617,Stephen F. Austin Lumberjacks,,,,110.1769,90.2025,19.9745,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1229.84,1242.76,0.0,0.0,1355.0,1121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398295,Jashawn Talton-Thomas,357,Texas A&M-Corpus Christi Islanders,94.9993,101.1246,-6.1253,,,,,,,,,,,,0.4522,0.4522,,0.0,0.3776,0.7138,0.4242,0.4242,,0.0,0.6746,0.3084,35.9151,14.1106,17.3227,1112.64,1102.6,0.0,0.0,1057.0,1115.0,0.0,0.0,805.0,364.0,0.0,0.0,858.0,364.0,0.0,0.0,157.0,396.0,191.0,352.0
4398296,Javae Lampkins,357,Texas A&M-Corpus Christi Islanders,,,,98.9239,102.8408,-3.9169,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1312.12,1301.04,0.0,0.0,1298.0,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398297,Irshaad Hunte,357,Texas A&M-Corpus Christi Islanders,,,,98.0136,102.0507,-4.0372,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1451.84,1443.4,0.0,0.0,1423.0,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398299,Mitch Listau,2057,Belmont Bruins,,,,111.9459,96.5087,15.4372,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1339.04,1343.92,0.0,0.0,1499.0,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398300,Adam Kunkel,2057,Belmont Bruins,111.9459,96.5087,15.4372,,,,,,,,,,,,0.4748,0.4748,,0.0,0.2485,0.7148,0.424,0.424,,0.0,0.688,0.2787,38.3951,14.3386,17.4118,1339.04,1343.92,0.0,0.0,1499.0,1297.0,0.0,0.0,1171.0,556.0,0.0,0.0,1144.0,485.0,0.0,0.0,192.0,516.0,234.0,497.0
4398303,Garrett Suedekum,2057,Belmont Bruins,,,,121.223,80.3127,40.9103,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,278.0,281.4,0.0,0.0,337.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398304,Kevin Obanor,198,Oral Roberts Golden Eagles,115.2164,104.0427,11.1737,,,,,,,,,,,,0.4674,0.4674,,0.0,0.273,0.7689,0.4444,0.4444,,0.0,0.7146,0.29,35.1458,15.2314,14.0397,1070.16,1075.52,0.0,0.0,1233.0,1119.0,0.0,0.0,967.0,452.0,0.0,0.0,882.0,392.0,0.0,0.0,163.0,378.0,151.0,399.0
4398307,Aidan Saunders,198,Oral Roberts Golden Eagles,,,,113.6754,105.5195,8.156,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,930.72,936.32,0.0,0.0,1058.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398309,Francis Lacis,198,Oral Roberts Golden Eagles,,,,116.7369,103.5556,13.1814,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1005.68,1009.12,0.0,0.0,1174.0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398313,Braxton Shaw,2197,Eastern Illinois Panthers,,,,100.5747,98.4529,2.1218,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,278.4,284.4,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398319,Tre King,2198,Eastern Kentucky Colonels,101.2702,100.4783,0.7919,,,,,,,,,,,,0.4271,0.4271,,0.0,0.3163,0.717,0.4436,0.4436,,0.0,0.6493,0.2708,32.2683,14.4467,17.4306,1398.24,1388.36,0.0,0.0,1416.0,1395.0,0.0,0.0,1173.0,501.0,0.0,0.0,1134.0,503.0,0.0,0.0,202.0,448.0,242.0,544.0
4398332,Simeon Jovic,233,South Dakota Coyotes,,,,104.4521,106.701,-2.2489,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,292.0,287.72,0.0,0.0,305.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
