team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2213,26,18,44,77,23,70.6
2215,17,32,49,65,24,76.24
2217,306,754,1060,1748,553,2017.52
2221,14,31,45,63,31,64.4
2225,23,43,66,111,44,139.28
2226,364,922,1286,2290,800,2672.32
2229,414,803,1217,1907,765,2276.2
2230,284,832,1116,1841,562,2315.28
2233,12,27,39,58,16,62.52
2235,9,24,33,52,21,67.44
2239,328,825,1153,1812,705,2210.04
2241,247,733,980,1639,618,2116.76
2244,289,782,1071,1872,658,2234.92
2246,9,35,44,64,35,75.76
2247,288,733,1021,1734,596,2076.72
2249,23,33,56,82,28,85.6
2250,334,838,1172,2246,877,2654.88
2251,29,59,88,134,46,143.68
2253,395,816,1211,2112,694,2401.44
2256,13,35,48,66,19,78.32
2258,8,35,43,51,34,72.28
2261,327,916,1243,1889,701,2213.8
2264,10,30,40,64,21,69.4
2269,7,29,36,57,21,64.52000000000001
2272,382,788,1170,1942,749,2230.76
2275,412,866,1278,2115,769,2375.56
2277,328,788,1116,1978,660,2331.2
2281,63,98,161,212,74,222.6
2287,278,714,992,1770,667,2112.44
2288,10,31,41,52,21,67.12
2292,10,30,40,66,26,67.64
2294,305,840,1145,1982,640,2308.68
2295,8,29,37,56,16,70.88
2296,311,775,1086,1881,741,2298.28
2299,39,100,139,218,105,235.04000000000002
2301,6,38,44,74,40,80.6
2305,379,876,1255,2103,742,2526.76
2306,388,833,1221,2070,764,2553.44
2309,363,857,1220,1920,778,2418.64
2310,26,80,106,146,54,170.52
2318,16,30,46,80,26,85.76
2320,376,734,1110,1852,819,2106.16
2325,362,870,1232,1996,696,2331.2
2326,45,79,124,152,38,160.16
2327,16,37,53,73,29,90.84
2329,279,805,1084,1778,620,2074.2
2333,9,32,41,62,30,72.56
2335,238,849,1087,1891,689,2348.92
2339,14,31,45,53,21,72.08
2344,270,737,1007,1693,722,2124.56
2345,8,35,43,59,21,76.04
2347,5,37,42,59,21,74.36
2348,302,776,1078,1770,750,2260.84
2349,319,709,1028,1940,634,2364.68
2350,290,717,1007,1705,649,2072.6
2351,251,732,983,1773,601,2147.04
2352,285,797,1082,1804,658,2199.8
2355,15,34,49,68,31,76.24
2357,15,35,50,63,30,70.28
2358,31,50,81,141,51,147.0
2362,15,41,56,70,36,77.12
2363,340,745,1085,1723,628,2036.48
2368,338,842,1180,1893,711,2154.7200000000003
2369,15,30,45,65,27,71.96
2370,52,85,137,191,82,217.12
2371,13,26,39,61,17,69.12
2373,16,29,45,62,29,67.52
2375,12,29,41,60,24,77.08
2377,345,819,1164,1920,747,2307.4
2378,288,825,1113,1881,721,2177.28
2379,295,762,1057,1674,611,2213.96
2380,17,30,47,77,30,80.32
2381,10,40,50,67,31,72.2
2382,300,761,1061,1798,609,2167.28
2383,17,29,46,64,31,67.92
2384,15,33,48,76,23,83.48
2390,364,824,1188,2214,852,2547.08
2393,303,744,1047,1762,600,2209.72
2397,27,56,83,148,54,157.36
2400,339,784,1123,1788,706,2191.84
2401,11,24,35,62,30,71.6
2402,11,35,46,58,26,67.84
2405,354,840,1194,1804,829,2230.0
2409,14,27,41,64,30,75.88
2410,24,59,83,135,54,149.28
2413,274,824,1098,1932,618,2270.88
2415,403,779,1182,1794,602,2287.96
2418,16,34,50,73,20,72.04
2419,16,22,38,63,36,54.64
2424,13,34,47,74,36,82.04
2426,290,720,1010,1684,651,2014.68
2427,369,827,1196,2125,731,2446.2
2428,298,668,966,1657,609,2110.16
2429,269,805,1074,1912,726,2246.96
2430,304,761,1065,1799,740,2160.68
2433,317,817,1134,1838,722,2150.4
2437,311,809,1120,1859,760,2168.04
2439,326,834,1160,1781,792,2254.12
2440,280,827,1107,1836,779,2222.88
2442,13,30,43,71,17,67.28
2443,349,735,1084,1858,677,2307.2799999999997
2447,321,793,1114,1670,644,2232.84
2448,358,900,1258,1964,733,2247.92
